City,Country,Lat,Long,Temp,Feel Like,Humidity,Cloud %
Hambantota,LK,6.12,81.12,86.0,89.56,79,40
Shimoda,JP,34.67,138.95,68.14,59.52,64,75
Makubetsu,JP,45.37,141.82,68.0,58.42,72,75
Kikwit,CD,-5.04,18.82,71.24,77.83,94,100
Koutsouras,GR,35.03,25.95,75.0,82.83,92,2
Baykit,RU,61.67,96.37,38.7,30.18,68,38
Petatlán,MX,17.52,-101.27,78.24,85.24,82,100
Vaini,TO,-21.2,-175.2,78.8,83.59,83,20
Millinocket,US,45.66,-68.71,65.66,68.45,93,90
Muhafazat Lahij,YE,13.17,44.58,80.35,86.95,78,52
Jamestown,US,42.1,-79.24,60.93,54.7,87,90
Kapaa,US,22.08,-159.32,78.71,81.3,69,40
Mataura,NZ,-46.19,168.86,39.0,23.7,78,94
Smithers,CA,54.78,-127.17,50.0,47.88,87,90
Richards Bay,ZA,-28.78,32.04,62.22,63.18,88,97
Port Hardy,CA,50.7,-127.42,55.4,54.93,93,20
East London,ZA,-33.02,27.91,55.4,47.28,62,21
Avarua,CK,-21.21,-159.78,75.2,72.46,73,19
Mīnāb,IR,27.15,57.08,82.4,89.87,83,23
Puerto Ayora,EC,-0.74,-90.35,68.0,71.6,86,97
Olafsvik,IS,64.89,-23.71,36.59,23.59,93,94
Ushuaia,AR,-54.8,-68.3,30.2,24.44,80,14
Kavaratti,IN,10.57,72.64,84.2,90.64,74,40
Yar-Sale,RU,66.83,70.83,40.86,28.51,69,99
Bethel,US,41.37,-73.41,65.08,65.62,93,1
Polūr,IN,12.5,79.13,87.03,91.83,61,100
Narsaq,GL,60.92,-46.05,28.4,19.65,58,0
Fortuna,US,40.6,-124.16,63.75,59.54,63,90
Sørland,NO,67.67,12.69,50.0,48.51,87,28
Butaritari,KI,3.07,172.79,82.29,85.23,73,67
Hobart,AU,-42.88,147.33,63.9,56.61,59,75
Hermanus,ZA,-34.42,19.23,44.01,40.82,95,43
Saint-Philippe,RE,-21.36,55.77,75.2,77.54,69,37
Carbonia,IT,39.17,8.52,63.75,64.47,82,20
Punta Arenas,CL,-53.15,-70.92,29.12,16.88,86,20
Faya,SA,18.39,42.45,62.6,56.35,27,71
Shingū,JP,33.73,135.98,78.8,81.86,61,75
Port Alfred,ZA,-33.59,26.89,56.88,43.38,66,5
Bubaque,GW,11.28,-15.83,80.91,87.21,74,94
Cherskiy,RU,68.75,161.3,46.98,33.4,55,72
Jeremoabo,BR,-10.07,-38.48,69.24,69.22,90,45
Ouro Sogui,SN,15.61,-13.32,83.86,86.41,63,2
Busselton,AU,-33.65,115.33,63.91,65.7,84,99
Arraial do Cabo,BR,-22.97,-42.03,73.36,71.01,89,100
Atasū,KZ,48.68,71.64,50.23,45.95,59,79
Mangan,IN,27.52,88.53,85.55,84.74,39,24
Rikitea,PF,-23.12,-134.97,71.62,66.38,84,97
Thompson,CA,55.74,-97.86,42.8,37.87,100,90
Dikson,RU,73.51,80.55,39.67,23.41,92,100
Kidal,ML,18.44,1.41,85.35,82.44,24,3
Port Elizabeth,ZA,-33.92,25.57,55.4,43.74,66,20
Saint Paul Harbor,US,57.79,-152.41,48.2,42.85,66,1
Coquimbo,CL,-29.95,-71.34,55.4,52.84,82,41
George Town,MY,5.41,100.34,87.4,93.0,66,20
Teya,RU,60.38,92.63,37.35,27.95,75,12
Letlhakane,BW,-21.42,25.58,65.08,60.12,78,96
Torbay,CA,47.67,-52.73,63.09,55.85,100,90
General Roca,AR,-39.03,-67.58,53.6,46.22,50,100
Mar del Plata,AR,-38.0,-57.56,47.35,42.84,100,7
Longyearbyen,SJ,78.22,15.64,35.6,28.69,85,75
Pouébo,NC,-20.4,164.57,69.13,70.34,84,100
Kirakira,SB,-10.45,161.92,82.9,87.3,76,100
Bud,US,39.45,-86.18,50.7,48.56,93,1
Norman Wells,CA,65.28,-126.83,41.0,32.81,93,90
Bredasdorp,ZA,-34.53,20.04,46.4,41.47,87,56
Qaanaaq,GL,77.48,-69.36,12.69,2.03,78,64
